Column1,df_apt_idx,BLDID_ID,PNU,LA,LO,법정동,주번_부,cust_each_,아파트�,빌라(0),빌라(1),NUMPOINTS,age,cell_count,possible_chr_count,chr_count,sale,household,parking_space,point_count2
"19","19","63892",4146130000000000000.000000000000000,37.284532110000001,127.218650900000000,경기도 용인시 처인구 포곡읍 전대리,"1960006",3.837000000000000,녹십자아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"20","20","10679",4146130000000000000.000000000000000,37.270094000000000,127.212310900000006,경기도 용인시 처인구 포곡읍 둔전리,"3190000",533.669999999999959,인정멜로디아파트,,,2412.583999999999833,51.5110685584549,6,15,0,2.3,831,824,1
"21","23","30271",4146130000000000000.000000000000000,37.284780349999998,127.216296999999997,경기도 용인시 처인구 포곡읍 전대리,"3680000",2407.456999999999880,조양아파트,,,1454.416999999999916,10.9916853282106,1,0,0,0,0,0,0
"26","28","4120",4146130000000000000.000000000000000,37.266887490000002,127.216222599999995,경기도 용인시 처인구 포곡읍 둔전리,"4470000",1431.832000000000107,금전마을계룡리슈빌,,,527.950000000000045,37.0556975469257,6,8,2,4.3,441,485,1
"27","29","15873",4146130000000000000.000000000000000,37.273633949999997,127.221170599999994,경기도 용인시 처인구 포곡읍 둔전리,"4490000",1285.067999999999984,용인포곡삼성쉐르빌아파트,,,620.068000000000097,66.7883720317476,8,12,6,4.8,469,671,1
"28","30","34317",4146130000000000000.000000000000000,37.280605979999997,127.232590000000002,경기도 용인시 처인구 포곡읍 삼계리,"4910001",43.887999999999998,진형월드아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"29","31","13242",4146130000000000000.000000000000000,37.272202270000001,127.210296900000003,경기도 용인시 처인구 포곡읍 영문리,"5550000",35.514000000000003,배머루마을 인정베네치아빌리지,,,170.366000000000014,25.7081368454046,3,7,0,3.47,347,422,1
"30","32","11278",4146130000000000000.000000000000000,37.294432260000001,127.238048000000006,경기도 용인시 처인구 포곡읍 삼계리,"6720000",269.492999999999995,계수마을수목원우림필유,,,278.905999999999949,41.998365586386,5,6,3,3.5,346,387,1
"31","33","76070",4146130000000000000.000000000000000,37.280356040000001,127.232231600000006,경기도 용인시 처인구 포곡읍 삼계리,"4650015",13.598000000000001,프라다시티,,,0.000000000000000,0,0,0,0,0,0,0,0
"42","46","45443",4146130000000000000.000000000000000,37.268752100000000,127.222496199999995,경기도 용인시 처인구 포곡읍 둔전리,"1210000",396.884000000000015,상부목련아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"52","58","70949",4146130000000000000.000000000000000,37.272776370000003,127.217591299999995,경기도 용인시 처인구 포곡읍 둔전리,"2260000",536.519999999999982,행운빌리지,,,0.000000000000000,0,0,0,0,0,0,0,0
"68","80","70952",4146130000000000000.000000000000000,37.267597580000000,127.214101499999998,경기도 용인시 처인구 포곡읍 둔전리,"4050019",8.654000000000000,대두빌딩,,,0.000000000000000,0,0,0,0,0,0,0,0
